filename,injection,file_type,sample_id,container_id,ATTRIBUTE_Species,genus,family,NCBITaxonomy_ID,Ionization.mode,organ,is_wild,collector,latitude,longitude,x_coord,y_coord,date_created
250404_ML_Metabo_DDA_QC3_3_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_4_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_5_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_6_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_7_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_8_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_Cond_1_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_Cond_2_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_Cond_3_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_Cond_4_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_Cond_5_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_QC3_Cond_6_nr8.mzML,NA,QC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_sample_157_nr8.mzML,157,sample,dbgi_003555,dbgi_003555_01_01,Pelargonium quercifolium,Pelargonium,Geraniaceae,253082,positive,Leaf,1,Mazzarine Laboureau,46.999687,6.9344535,2561654,1205527.1,2025-03-04T13:03:44.165Z
250404_ML_Metabo_DDA_sample_158_nr8.mzML,158,sample,dbgi_003838,dbgi_003838_01_01,Cistus ladanifer,Cistus,Cistaceae,335173,positive,Leaf,0,Mazzarine Laboureau,46.999653,6.933893,2561611.2,1205523.8,2025-03-04T13:03:39.340Z
250404_ML_Metabo_DDA_sample_159_nr8.mzML,159,sample,dbgi_007076,dbgi_007076_01_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250404_ML_Metabo_DDA_sample_160_nr8.mzML,160,sample,dbgi_002222,dbgi_002222_01_01,Viola tricolor,Viola,Violaceae,214053,positive,Leaf,0,Mazzarine Laboureau,47.00024,6.9350166,2561697.2,1205588.4,2025-03-04T13:03:23.178Z
